engine-size,horsepower,city-mpg,highway-mpg,price,fuel-type_diesel,fuel-type_gas,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd
122,88.0,25,32,8499.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,24,12629.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,24,14869.0,0,1,0,1,0,0,1,0,0,0,1,0
156,145.0,19,24,14489.0,0,1,0,1,0,0,1,0,0,0,1,0
122,88.0,25,32,6989.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,25,32,8189.0,0,1,1,0,0,0,0,1,0,0,1,0
110,116.0,23,30,9279.0,0,1,1,0,0,0,0,1,0,0,1,0
110,116.0,23,30,9279.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,37,5499.0,0,1,0,1,0,0,0,1,0,0,1,0
103,55.0,45,50,7099.0,1,0,0,1,0,0,0,1,0,0,1,0
97,69.0,31,37,6649.0,0,1,0,1,0,0,0,1,0,0,1,0
97,69.0,31,37,6849.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,37,7349.0,0,1,1,0,0,0,0,0,1,0,1,0
97,69.0,31,37,7299.0,0,1,0,1,0,0,0,1,0,0,1,0
97,69.0,31,37,7799.0,0,1,0,1,0,0,1,0,0,0,1,0
97,69.0,31,37,7499.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,37,7999.0,0,1,1,0,0,0,0,0,1,0,1,0
97,69.0,31,37,8249.0,0,1,0,1,0,1,0,0,0,0,1,0
120,97.0,27,34,8949.0,0,1,1,0,0,0,1,0,0,0,1,0
120,97.0,27,34,9549.0,0,1,1,0,0,0,0,1,0,0,1,0
181,152.0,17,22,13499.0,0,1,1,0,0,0,0,1,0,0,1,0
181,152.0,17,22,14399.0,0,1,1,0,0,0,0,0,1,0,1,0
181,152.0,19,25,13499.0,0,1,1,0,0,0,0,1,0,0,1,0
181,160.0,19,25,17199.0,0,1,0,1,0,0,1,0,0,0,0,1
181,200.0,17,23,19699.0,0,1,0,1,0,0,1,0,0,0,0,1
181,160.0,19,25,18399.0,0,1,0,1,0,0,1,0,0,0,0,1
120,97.0,19,24,11900.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,33,13200.0,1,0,1,0,0,0,0,1,0,0,0,1
120,97.0,19,24,12440.0,0,1,1,0,0,0,0,0,1,0,0,1
152,95.0,25,25,13860.0,1,0,1,0,0,0,0,0,1,0,0,1
120,95.0,19,24,15580.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,33,16900.0,1,0,1,0,0,0,0,1,0,0,0,1
120,95.0,19,24,16695.0,0,1,1,0,0,0,0,0,1,0,0,1
152,95.0,25,25,17075.0,1,0,1,0,0,0,0,0,1,0,0,1
120,97.0,19,24,16630.0,0,1,1,0,0,0,0,1,0,0,0,1
152,95.0,28,33,17950.0,1,0,1,0,0,0,0,1,0,0,0,1
134,142.0,18,24,18150.0,0,1,1,0,0,0,0,1,0,0,0,1
90,68.0,37,41,5572.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,30,7957.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,38,6229.0,0,1,1,0,0,0,1,0,0,0,1,0
90,68.0,31,38,6692.0,0,1,1,0,0,0,0,1,0,0,1,0
98,68.0,31,38,7609.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,24,30,8921.0,0,1,1,0,0,0,0,0,1,0,1,0
156,145.0,19,24,12764.0,0,1,0,1,0,0,1,0,0,0,0,1
151,143.0,19,27,22018.0,0,1,0,1,0,0,1,0,0,0,0,1
194,207.0,17,25,32528.0,0,1,0,1,0,1,0,0,0,0,0,1
194,207.0,17,25,34028.0,0,1,0,1,0,1,0,0,0,0,0,1
194,207.0,17,25,37028.0,0,1,0,1,1,0,0,0,0,0,0,1
132,95.0,23,31,9295.0,0,1,1,0,0,0,0,0,1,0,1,0
132,95.0,23,31,9895.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,28,11850.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,28,12170.0,0,1,1,0,0,0,0,1,0,0,1,0
121,110.0,21,28,15040.0,0,1,0,1,0,0,1,0,0,0,1,0
121,110.0,21,28,15510.0,0,1,1,0,0,0,0,1,0,0,1,0
121,160.0,19,26,18150.0,0,1,0,1,0,0,1,0,0,0,1,0
121,160.0,19,26,18620.0,0,1,1,0,0,0,0,1,0,0,1,0
97,69.0,31,36,5118.0,0,1,0,1,0,0,1,0,0,0,1,0
108,73.0,26,31,7053.0,0,1,0,1,0,0,1,0,0,0,1,0
108,73.0,26,31,7603.0,0,1,0,1,0,0,1,0,0,1,0,0
108,82.0,32,37,7126.0,0,1,1,0,0,0,0,1,0,0,1,0
108,82.0,28,33,7775.0,0,1,1,0,0,0,0,1,0,0,1,0
108,94.0,26,32,9960.0,0,1,1,0,0,0,0,1,0,0,1,0
108,82.0,24,25,9233.0,0,1,1,0,0,0,0,1,0,1,0,0
108,111.0,24,29,11259.0,0,1,1,0,0,0,0,1,0,1,0,0
108,82.0,28,32,7463.0,0,1,1,0,0,0,0,0,1,0,1,0
108,94.0,25,31,10198.0,0,1,1,0,0,0,0,0,1,0,1,0
108,82.0,23,29,8013.0,0,1,1,0,0,0,0,0,1,1,0,0
108,111.0,23,23,11694.0,0,1,1,0,0,0,0,0,1,1,0,0
92,62.0,35,39,5348.0,0,1,0,1,0,0,1,0,0,0,1,0
92,62.0,31,38,6338.0,0,1,0,1,0,0,1,0,0,0,1,0
92,62.0,31,38,6488.0,0,1,1,0,0,0,1,0,0,0,1,0
92,62.0,31,37,6918.0,0,1,1,0,0,0,0,0,1,0,1,0
92,62.0,27,32,7898.0,0,1,1,0,0,0,0,0,1,1,0,0
92,62.0,27,32,8778.0,0,1,1,0,0,0,0,0,1,1,0,0
98,70.0,30,37,6938.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,30,37,7198.0,0,1,1,0,0,0,1,0,0,0,1,0
110,56.0,34,36,7898.0,1,0,1,0,0,0,0,1,0,0,1,0
110,56.0,38,47,7788.0,1,0,1,0,0,0,1,0,0,0,1,0
98,70.0,38,47,7738.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,28,34,8358.0,0,1,1,0,0,0,1,0,0,0,1,0
98,70.0,28,34,9258.0,0,1,1,0,0,0,0,1,0,0,1,0
98,70.0,29,34,8058.0,0,1,0,1,0,0,0,1,0,0,0,1
98,70.0,29,34,8238.0,0,1,0,1,0,0,1,0,0,0,0,1
98,112.0,26,29,9298.0,0,1,0,1,0,0,0,1,0,0,0,1
98,112.0,26,29,9538.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,30,8449.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,30,9639.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,30,9989.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,30,11199.0,0,1,0,1,0,1,0,0,0,0,0,1
146,116.0,24,30,11549.0,0,1,0,1,0,0,1,0,0,0,0,1
146,116.0,24,30,17669.0,0,1,0,1,1,0,0,0,0,0,0,1
122,92.0,29,34,8948.0,0,1,1,0,0,0,0,1,0,0,1,0
110,73.0,30,33,10698.0,1,0,1,0,0,0,0,1,0,0,1,0
122,92.0,27,32,9988.0,0,1,1,0,0,0,1,0,0,0,1,0
122,92.0,27,32,10898.0,0,1,1,0,0,0,0,1,0,0,1,0
122,92.0,27,32,11248.0,0,1,1,0,0,0,1,0,0,0,1,0
171,161.0,20,24,16558.0,0,1,0,1,0,0,1,0,0,0,0,1
171,161.0,19,24,15998.0,0,1,0,1,0,0,1,0,0,0,0,1
171,156.0,20,24,15690.0,0,1,1,0,0,0,0,1,0,0,0,1
161,156.0,19,24,15750.0,0,1,1,0,0,0,0,0,1,0,0,1
97,52.0,37,46,7775.0,1,0,0,1,0,0,0,1,0,0,1,0
109,85.0,27,34,7975.0,0,1,0,1,0,0,0,1,0,0,1,0
97,52.0,37,46,7995.0,1,0,1,0,0,0,0,1,0,0,1,0
109,85.0,27,34,8195.0,0,1,1,0,0,0,0,1,0,0,1,0
109,85.0,27,34,8495.0,0,1,1,0,0,0,0,1,0,0,1,0
97,68.0,37,42,9495.0,1,0,1,0,0,0,0,1,0,0,1,0
109,100.0,26,32,9995.0,0,1,1,0,0,0,0,1,0,0,1,0
109,90.0,24,29,11595.0,0,1,0,1,1,0,0,0,0,0,1,0
109,90.0,24,29,9980.0,0,1,0,1,0,0,1,0,0,0,1,0
136,110.0,19,24,13295.0,0,1,1,0,0,0,0,1,0,0,1,0
97,68.0,33,38,13845.0,1,0,1,0,0,0,0,1,0,0,1,0
109,88.0,25,31,12290.0,0,1,1,0,0,0,0,0,1,0,1,0
141,114.0,23,28,12940.0,0,1,1,0,0,0,0,1,0,0,0,1
141,114.0,23,28,13415.0,0,1,1,0,0,0,0,0,1,0,0,1
141,114.0,24,28,15985.0,0,1,1,0,0,0,0,1,0,0,0,1
141,114.0,24,28,16515.0,0,1,1,0,0,0,0,0,1,0,0,1
130,162.0,17,22,18420.0,0,1,1,0,0,0,0,1,0,0,0,1
130,162.0,17,22,18950.0,0,1,1,0,0,0,0,0,1,0,0,1
141,114.0,23,28,16845.0,0,1,1,0,0,0,0,1,0,0,0,1
141,160.0,19,25,19045.0,0,1,1,0,0,0,0,1,0,0,0,1
173,134.0,18,23,21485.0,0,1,1,0,0,0,0,1,0,0,0,1
145,106.0,26,27,22470.0,1,0,1,0,0,0,0,1,0,0,0,1
141,114.0,19,25,22625.0,0,1,1,0,0,0,0,1,0,0,0,1
